"","mc_critic_score","mc_critic_num","mc_audience_score","mc_audience_num","imdb_score","imdb_reviews"
"3009",48,17,9,20,5.7,13247
"3010",62,29,8.7,131,6.6,61789
"3011",52,14,8.2,34,5.7,17604
"3012",31,29,8.7,122,6.1,28013
"3013",27,25,4.6,14,5.5,13571
"3014",35,24,5.1,65,4.9,33733
"3015",55,29,6.6,16,5.8,12705
"3016",35,26,5,66,4.9,49888
"3017",46,29,6.5,195,6.2,196618
"3018",52,31,6.5,20,6.7,36984
"3019",42,21,7.5,10,4.1,6465
"3020",35,12,4.5,118,5.3,8194
"3021",34,26,5.1,8,4.5,4601
"3022",46,32,7.2,12,6.1,28023
"3023",62,25,6.3,39,6.1,10835
"3024",21,29,2,52,5,12411
"3025",62,31,8.4,579,7.3,376469
"3026",40,28,8.6,62,4.7,16360
"3027",73,33,8.9,438,7,303316
"3028",41,21,8.1,55,5.6,29472
"3029",38,25,7.8,18,5.8,17943
"3030",45,29,6.8,28,6.2,54069
"3031",34,23,6.3,12,4.2,3947
"3032",14,23,3.7,103,2.2,21182
"3033",22,12,4.5,30,4.5,8829
"3034",31,19,8.2,68,5.3,13209
"3035",20,11,6.2,40,3.9,8136
"3036",52,34,8.7,363,5.5,171977
"3037",48,32,8.5,126,7.8,191994
"3038",56,30,7.9,41,7.2,104558
"3039",14,25,4.9,62,3.6,31445
"3040",67,46,8.9,899,8.5,1291450
"3041",38,29,6.6,171,5.3,95485
"3042",90,38,6.8,377,7.9,244589
"3043",40,34,8.5,149,7.2,110448
"3044",49,34,7.6,93,6,94350
"3045",73,35,6.2,49,6.4,71659
"3046",49,30,4.4,188,5.9,114149
"3047",34,27,8.4,115,5.7,54235
"3048",47,35,8.9,63,6.7,52342
"3049",52,31,8.2,58,5.7,19711
"3050",59,27,7.2,64,7.2,33947
"3051",73,36,8.1,43,7.3,60161
"3052",51,35,6.9,62,6.6,114947
"3053",59,35,6.9,24,6.9,22312
"3054",52,31,4.2,91,6,84616
"3055",38,34,5.8,36,4.4,47340
"3056",59,40,7.9,588,6.1,304842
"3057",59,36,6,76,6.4,152403
"3058",64,33,7.8,661,7.4,557639
"3059",48,32,3.8,479,6.2,225819
"3060",56,32,7.3,84,6.5,51192
"3061",73,36,8.5,142,7.3,168453
"3062",33,27,6.6,68,5.2,79203
"3063",63,35,6.8,140,7.2,248137
"3064",88,34,8.2,319,7,172090
"3065",35,34,8.6,294,6.5,254721
"3066",49,35,7.5,125,6.6,217319
"3067",56,32,8.6,508,5.6,119891
"3068",62,35,6.8,46,6.6,74863
"3069",24,35,3.6,270,5.8,120350
"3070",61,32,6.6,94,5.9,122017
"3071",50,33,8.1,81,5.9,71954
"3072",61,36,8.4,538,8.6,1094901
"3073",45,32,6.5,33,6.1,39389
"3074",55,32,4.9,99,6.4,154079
"3075",45,31,6.6,16,6.4,43405
"3076",40,32,8.9,300,6.3,93053
"3077",34,36,6.2,61,5.7,68993
"3078",27,29,5.8,53,5.7,104323
"3079",34,22,8.8,59,5.1,11256
"3080",84,34,9,1035,8.3,1038976
"3081",41,25,6.2,39,6.2,35621
"3082",47,32,8.6,193,6.7,107502
"3083",77,30,8.8,195,6.6,116523
"3084",52,27,7.7,58,6.1,65437
"3085",75,32,8.7,112,7.4,91067
"3086",36,28,8.7,567,6.7,222551
"3087",76,35,8.9,330,7.4,175536
"3088",70,28,8.5,173,7.3,144038
"3089",51,29,7.2,106,6.9,80917
"3090",74,30,7.5,49,7.6,89317
"3091",88,34,8.8,785,7.9,508953
"3092",53,23,6.9,24,6.3,16638
"3093",67,32,8.8,176,7.3,98466
"3094",30,32,8.6,81,6.6,56693
